Rk,Player,Pos,Tm,FG%,3P,FT%,TRB,AST,STL,BLK,TOV,PTS
175,Ty Jerome\jeromty01,SG,OKC,.459,2.2,.556,3.1,3.5,0.9,0.1,1.0,9.9
176,Nickeil Alexander-Walker\alexani01,SG,NOP,.419,1.6,.767,3.0,2.0,0.9,0.4,1.3,9.8
177,Grayson Allen\allengr01,SG,MEM,.418,2.0,.902,3.3,2.1,1.0,0.2,0.9,9.8
178,Cameron Johnson\johnsca02,PF,PHO,.434,2.0,.865,3.3,1.4,0.6,0.3,0.7,9.8
179,Dario Šarić\saricda01,C,PHO,.452,1.0,.902,4.2,1.3,0.6,0.1,1.4,9.8
180,Miles Bridges\bridgmi02,PF,CHA,.500,1.2,.909,5.8,2.0,0.6,0.7,1.6,9.7
181,Danny Green\greenda02,SF,PHI,.415,2.6,.708,3.6,1.6,1.3,0.8,1.2,9.7
182,Paul Millsap\millspa01,PF,DEN,.506,1.1,.690,5.1,1.8,1.0,0.6,0.9,9.7
183,Mike Muscala\muscami01,C,OKC,.446,1.9,.917,3.8,0.8,0.2,0.3,0.6,9.7
184,Patrick Williams\willipa01,PF,CHI,.469,0.8,.766,4.9,1.3,0.7,0.7,1.5,9.7
185,Gary Harris\harriga01,SG,DEN,.442,1.3,.733,2.5,1.7,0.9,0.2,0.7,9.7
186,Jusuf Nurkić\nurkiju01,C,POR,.491,0.4,.515,7.4,2.6,0.9,0.9,1.9,9.7
187,Otto Porter\porteot01,SF,ORL,.435,1.5,.838,5.5,2.0,0.5,0.2,1.0,9.7
188,Jeff Green\greenje02,C,BRK,.495,1.3,.759,3.8,1.4,0.6,0.3,0.8,9.6
189,DeMarcus Cousins\couside01,C,HOU,.376,1.6,.746,7.6,2.4,0.8,0.7,1.6,9.6
190,Desmond Bane\banede01,SG,MEM,.486,1.8,.833,2.9,1.3,0.7,0.2,1.0,9.5
191,Eric Paschall\pascher01,PF,GSW,.496,0.4,.713,3.1,1.3,0.3,0.2,1.0,9.5
192,Yogi Ferrell\ferreyo01,PG,CLE,.381,1.5,.000,3.5,2.5,1.5,0.5,1.5,9.5
193,Bryn Forbes\forbebr01,SG,MIL,.456,2.1,.765,1.3,0.6,0.2,0.0,0.6,9.4
194,Reggie Jackson\jacksre01,SG,LAC,.459,1.5,.778,2.6,2.9,0.6,0.1,1.1,9.4
195,Daniel Theis\theisda01,C,CHI,.553,0.8,.676,5.2,1.6,0.6,1.0,1.0,9.4
196,Danuel House\houseda01,SF,HOU,.407,1.6,.667,4.0,2.0,0.6,0.5,0.9,9.4
197,David Nwaba\nwabada01,SF,HOU,.486,0.6,.691,3.9,1.0,1.0,0.7,0.6,9.2
198,Reggie Bullock\bullore01,SF,NYK,.414,2.0,.862,3.4,1.3,0.7,0.2,0.8,9.1
199,Josh Hart\hartjo01,SF,NOP,.441,1.3,.771,7.8,2.3,0.8,0.3,1.0,9.1
200,Isaiah Roby\robyis01,PF,OKC,.506,0.5,.724,5.6,1.8,0.9,0.7,1.6,9.0
201,Robert Covington\covinro01,PF,POR,.405,2.0,.821,6.8,1.8,1.6,1.3,1.1,8.9
202,Furkan Korkmaz\korkmfu01,SG,PHI,.399,1.7,.737,2.1,1.1,0.7,0.1,0.9,8.9
203,JaMychal Green\greenja01,PF,DEN,.454,1.5,.842,5.4,0.8,0.6,0.3,0.9,8.8
204,Théo Maledon\maledth01,PG,OKC,.383,1.7,.761,3.3,3.4,1.0,0.1,1.9,8.7
205,Michael Carter-Williams\cartemi01,SG,ORL,.384,0.4,.679,4.5,4.2,0.6,0.5,2.4,8.7
206,J.J. Redick\redicjj01,SG,NOP,.407,1.6,.957,1.7,1.3,0.3,0.1,0.8,8.7
207,Cody Zeller\zelleco01,C,CHA,.508,0.1,.690,6.9,2.1,0.7,0.4,0.9,8.7
208,Nicolas Batum\batumni01,SF,LAC,.465,1.8,.848,4.8,2.3,1.1,0.4,0.8,8.6
209,Ivica Zubac\zubaciv01,C,LAC,.637,0.0,.826,7.2,1.1,0.4,0.9,1.1,8.6
210,Nicolas Claxton\claxtni01,C,BRK,.593,0.1,.545,4.5,0.8,0.7,1.5,0.5,8.5
211,Kentavious Caldwell-Pope\caldwke01,SG,LAL,.421,1.5,.859,2.4,1.5,0.8,0.3,1.0,8.4
212,Dorian Finney-Smith\finnedo01,PF,DAL,.438,1.6,.840,5.1,1.6,0.9,0.4,0.6,8.4
213,Bruce Brown\brownbr01,PG,BRK,.546,0.2,.736,4.5,1.5,0.7,0.3,0.8,8.3
214,Ricky Rubio\rubiori01,PG,MIN,.387,0.8,.845,3.2,6.9,1.4,0.0,1.9,8.3
215,Patrick Beverley\beverpa01,PG,LAC,.442,1.7,.795,3.7,2.1,0.9,0.8,0.9,8.3
216,Mitchell Robinson\robinmi01,C,NYK,.653,0.0,.491,8.1,0.5,1.1,1.5,0.8,8.3
217,Anfernee Simons\simonan01,SG,POR,.409,2.0,.774,2.4,1.5,0.2,0.1,0.8,8.2
218,Moses Brown\brownmo01,C,OKC,.596,0.0,.559,7.9,0.2,0.6,1.2,0.8,8.2
219,Taurean Prince\princta02,PF,CLE,.373,1.3,.849,3.5,1.7,0.6,0.6,1.1,8.2
220,Derrick Jones Jr.\jonesde02,SF,POR,.496,0.9,.653,4.3,0.9,0.8,1.1,0.6,8.1
221,Luke Kennard\kennalu01,SG,LAC,.494,1.6,.824,2.7,1.7,0.3,0.2,0.7,8.1
222,Robin Lopez\lopezro01,C,WAS,.589,0.1,.705,4.1,0.8,0.3,0.6,1.0,8.1
223,Garrett Temple\templga01,SG,CHI,.424,1.2,.816,3.1,2.0,0.9,0.5,1.0,8.1
224,Talen Horton-Tucker\hortota01,SG,LAL,.445,0.5,.833,2.7,2.3,0.8,0.5,1.3,8.0
225,Raul Neto\netora01,PG,WAS,.448,1.0,.814,2.3,2.2,1.2,0.1,0.8,8.0
226,Avery Bradley\bradlav01,SG,HOU,.444,1.5,.778,1.8,1.5,0.8,0.1,0.8,8.0
227,JaVale McGee\mcgeeja01,C,CLE,.521,0.2,.655,5.2,1.0,0.5,1.2,1.4,8.0
228,Hassan Whiteside\whiteha01,C,SAC,.555,0.0,.524,6.0,0.6,0.2,1.4,1.1,8.0
229,Steven Adams\adamsst01,C,NOP,.631,0.0,.455,8.9,1.9,0.9,0.7,1.5,7.9
230,Tomáš Satoranský\satorto01,SG,CHI,.516,0.8,.917,2.5,4.8,0.7,0.3,1.7,7.9
231,Tristan Thompson\thomptr01,PF,BOS,.534,0.0,.600,8.4,1.0,0.4,0.4,1.0,7.9
232,Gorgui Dieng\dienggo01,C,MEM,.519,1.0,.884,4.5,1.3,0.8,0.6,1.0,7.9
233,Sterling Brown\brownst02,SG,HOU,.432,1.7,.917,4.7,1.5,0.8,0.3,0.8,7.8
234,Maxi Kleber\klebima01,PF,DAL,.441,1.9,.935,5.5,1.3,0.5,0.8,0.5,7.8
235,Isaac Okoro\okorois01,SG,CLE,.405,0.8,.694,2.7,1.8,1.0,0.5,1.5,7.8
236,Landry Shamet\shamela01,SG,BRK,.391,1.8,.837,1.8,1.1,0.5,0.1,0.7,7.8
237,James Ennis\ennisja01,SF,ORL,.487,1.1,.792,4.0,1.4,0.8,0.2,0.9,7.8
238,Jakob Poeltl\poeltja01,C,SAS,.628,0.0,.384,7.8,1.8,0.5,1.7,1.3,7.7
239,Robert Williams\williro04,C,BOS,.714,0.0,.644,6.7,1.6,0.9,1.9,1.0,7.7
240,DeAndre Jordan\jordade01,C,BRK,.767,0.0,.492,7.3,1.7,0.3,1.2,1.5,7.6
241,Henry Ellenson\ellenhe01,PF,TOR,.357,1.0,.750,6.0,2.5,0.0,0.0,0.0,7.5
242,Ben McLemore\mclembe01,SG,HOU,.355,1.7,.719,2.1,0.9,0.6,0.1,0.9,7.5
